supplier_name_raw,supplier_name_norm,candidate_company_number,candidate_company_name,match_score,candidate_count,total_spend,decision,queue_reason
Little Bugs Childcare,LITTLE BUGS CHILDCARE,13502430,LITTLE BUGS CHILDCARE LIMITED,1.0,1,414428.1,,tier 4 fuzzy
Telefonica UK,TELEFONICA UK,01743099,TELEFONICA UK LIMITED,1.0,1,408148.8,,tier 4 fuzzy
Fledglings Day Nursery,FLEDGLINGS DAY NURSERY,10602968,FLEDGLINGS DAY NURSERY LTD,1.0,1,407724.46,,tier 4 fuzzy
Blue Sky Fostering,BLUE SKY FOSTERING,05326869,BLUE SKY FOSTERING LIMITED,1.0,1,406859.83,,tier 4 fuzzy
RED EAGLE,RED EAGLE,05288420,RED EAGLE LIMITED,1.0,1,406121.72,,tier 4 fuzzy
1SPATIAL GROUP,1SPATIAL GROUP,04785688,1SPATIAL GROUP LIMITED,1.0,1,403080,,tier 4 fuzzy
Care Support and Domestic Services,CARE SUPPORT AND DOMESTIC SERVICES,07408564,CARE SUPPORT AND DOMESTIC SERVICES LIMITED,1.0,1,398647.19,,tier 4 fuzzy
Little Learning Ladder,LITTLE LEARNING LADDER,07676971,LITTLE LEARNING LADDER LIMITED,1.0,1,396510.64,,tier 4 fuzzy
New Moon Residential,NEW MOON RESIDENTIAL,13827165,NEW MOON RESIDENTIAL LTD,1.0,1,395135.68,,tier 4 fuzzy
SPECIALIST COMPUTER CENTRES PLC SCC,SPECIALIST COMPUTER CENTRES PLC SCC,01428210,SPECIALIST COMPUTER CENTRES PLC,,1,392494.74,,tier 1 demoted: register name disagrees
Sunshine Day Nursery,SUNSHINE DAY NURSERY,05327582,SUNSHINE DAY NURSERY LIMITED,1.0,1,386095.08,,tier 4 fuzzy
Zapmap,ZAPMAP,05960749,ZAPMAP LIMITED,1.0,1,381619.2,,tier 4 fuzzy
Equilibrium Healthcare,EQUILIBRIUM HEALTHCARE,03159421,EQUILIBRIUM HEALTHCARE LIMITED,1.0,1,379369.14,,tier 4 fuzzy
Royal Mail,ROYAL MAIL,14240638,ROYAL MAIL LIMITED,1.0,1,379354.45,,tier 4 fuzzy
Drive Devilbiss Healthcare Ltd,DRIVE DEVILBISS HEALTHCARE LTD,04301005,DRIVE MEDICAL LIMITED,,1,360272.94,,tier 1 demoted: register name disagrees
TETRATECH LIMITED,TETRATECH LTD,01959704,TETRA TECH LIMITED,,1,359792.19,,tier 1 demoted: register name disagrees
SOMERSET AND AVON RAPE AND SEXUAL ABUSE SUPPORT (SARSAS),SOMERSET AND AVON RAPE AND SEXUAL ABUSE SUPPORT SARSAS,06738639,SOMERSET AND AVON RAPE AND SEXUAL ABUSE SUPPORT,0.875,1,358177,,tier 4 fuzzy
1St Choice Stairlifts,1ST CHOICE STAIRLIFTS,05032057,1ST CHOICE STAIRLIFTS LIMITED,1.0,1,355554.48,,tier 4 fuzzy
Arboricultural Services Treework,ARBORICULTURAL SERVICES TREEWORK,05617718,ARBORICULTURAL SERVICES TREEWORK LIMITED,1.0,1,354546.88,,tier 4 fuzzy
Elim Housing Association,ELIM HOUSING ASSOCIATION,RS016402,ELIM HOUSING ASSOCIATION LIMITED,1.0,1,351020.54,,tier 4 fuzzy
Brookvale,BROOKVALE,01751661,BROOKVALE LIMITED,1.0,1,350535.6,,tier 4 fuzzy
THE FIRE SERVICE COLLEGE ,FIRE SERVICE COLLEGE,08102633,FIRE SERVICE COLLEGE LIMITED,,1,346184.98,,tier 1 demoted: register name disagrees
THE FIRE SERVICE COLLEGE ,FIRE SERVICE COLLEGE,08102633,FIRE SERVICE COLLEGE LIMITED,1.0,1,346184.98,,tier 4 fuzzy
Orchard School,ORCHARD SCHOOL,05628365,ORCHARD SCHOOL LIMITED,1.0,1,342605.34,,tier 4 fuzzy
The Whiteluck Group,WHITELUCK GROUP,12871208,THE WHITELUCK GROUP LTD,1.0,1,340311.65,,tier 4 fuzzy
DAISY CORPORATE SERVICES TRADING LIMITED,DAISY CORPORATE SERVICES TRADING LTD,02888250,WN CORPORATE SERVICES TRADING LIMITED,,1,340289.78,,tier 1 demoted: register name disagrees
Northern Powergrid,NORTHERN POWERGRID,03271033,NORTHERN POWERGRID LIMITED,1.0,1,340011.25,,tier 4 fuzzy
Northern Powergrid,NORTHERN POWERGRID,03271033,NORTHERN POWERGRID LIMITED,,1,340011.25,,tier 1 demoted: register name disagrees
Thompsons Solicitors,THOMPSONS SOLICITORS,OC356468,THOMPSONS SOLICITORS LLP,1.0,1,339629,,tier 4 fuzzy
Balmoral Court,BALMORAL COURT,NI017808,BALMORAL COURT LIMITED,1.0,1,338498.38,,tier 4 fuzzy
ADSM,ADSM,13374575,ADSM LIMITED,1.0,1,338168.61,,tier 4 fuzzy
